Datetime,Ticker,Open,High,Low,Close,Volume
2020-12-30 09:30:00-05:00,NVDA,519.6124267578125,520.010009765625,519.0999755859375,519.4290161132812,133643
2020-12-30 09:31:00-05:00,NVDA,519.52001953125,520.25,519.4500122070312,519.7860107421875,21107
2020-12-30 09:32:00-05:00,NVDA,519.75,520.5,519.75,520.0,20538
2020-12-30 09:33:00-05:00,NVDA,519.8438110351562,520.7000122070312,519.3201293945312,520.1500244140625,22033
2020-12-30 09:34:00-05:00,NVDA,517.75,517.792724609375,517.5599975585938,517.610595703125,32109
2020-12-30 09:35:00-05:00,NVDA,517.6099853515625,517.8355712890625,517.0800170898438,517.280029296875,27156
2020-12-30 09:36:00-05:00,NVDA,517.0,517.5,516.6799926757812,517.4299926757812,22316
2020-12-30 09:37:00-05:00,NVDA,516.5,516.5999145507812,516.5,516.5999145507812,19768
2020-12-30 09:38:00-05:00,NVDA,517.0,517.8298950195312,516.9561157226562,517.2852172851562,17049
2020-12-30 09:39:00-05:00,NVDA,517.125,517.8499755859375,517.0700073242188,517.7042846679688,18538
2020-12-30 09:40:00-05:00,NVDA,517.469970703125,517.6099853515625,516.5599975585938,517.0250244140625,13517
2020-12-30 09:41:00-05:00,NVDA,517.219970703125,517.219970703125,516.6900024414062,516.6900024414062,9947
2020-12-30 09:42:00-05:00,NVDA,516.5,516.6199951171875,516.134521484375,516.6199951171875,28695
2020-12-30 09:43:00-05:00,NVDA,516.719970703125,516.780029296875,516.3099975585938,516.719970703125,12909
2020-12-30 09:44:00-05:00,NVDA,517.489990234375,517.5349731445312,517.4099731445312,517.427490234375,16695
2020-12-30 09:45:00-05:00,NVDA,517.0,517.0,517.0,517.0,13361
2020-12-30 09:46:00-05:00,NVDA,516.9439697265625,517.3399047851562,516.6962890625,517.3399047851562,8001
2020-12-30 09:47:00-05:00,NVDA,517.0,517.6281127929688,517.0,517.5700073242188,9667
2020-12-30 09:48:00-05:00,NVDA,517.1900024414062,517.5999755859375,517.0700073242188,517.0831298828125,11697
2020-12-30 09:49:00-05:00,NVDA,517.0399780273438,517.5999755859375,517.0399780273438,517.3400268554688,20535
2020-12-30 09:50:00-05:00,NVDA,517.469970703125,517.5999755859375,517.1599731445312,517.594970703125,9850
2020-12-30 09:51:00-05:00,NVDA,517.1123046875,517.3200073242188,517.0,517.0,8896
2020-12-30 09:52:00-05:00,NVDA,517.0,517.3399047851562,516.9099731445312,517.1199951171875,11293
2020-12-30 09:53:00-05:00,NVDA,517.489990234375,517.489990234375,516.97998046875,516.989990234375,9952
2020-12-30 09:54:00-05:00,NVDA,516.0999755859375,517.0,516.094970703125,516.922119140625,18165
2020-12-30 09:55:00-05:00,NVDA,516.9099731445312,516.9099731445312,516.2600708007812,516.5999145507812,8630
